long,lat,group,order,Geography,subregion,France_NA_NA,Spain_NA_NA,Germany_NA_NA,France_Spain_NA,Spain_Germany_NA,France_Germany_NA,France_Spain_Germany
20.611328125,60.04067611694336,7,884,Finland,Aland Islands,0,0,0,0,0,0,0
20.603418350219727,60.01694107055664,7,885,Finland,Aland Islands,0,0,0,0,0,0,0
20.52177619934082,60.01166915893555,7,886,Finland,Aland Islands,0,0,0,0,0,0,0
20.48750114440918,60.03276443481445,7,887,Finland,Aland Islands,0,0,0,0,0,0,0
20.411231994628906,60.030128479003906,7,888,Finland,Aland Islands,0,0,0,0,0,0,0
20.39794921875,60.04067611694336,7,889,Finland,Aland Islands,0,0,0,0,0,0,0
20.429590225219727,60.06171798706055,7,890,Finland,Aland Islands,0,0,0,0,0,0,0
20.490137100219727,60.07490158081055,7,891,Finland,Aland Islands,0,0,0,0,0,0,0
20.56913948059082,60.06962966918945,7,892,Finland,Aland Islands,0,0,0,0,0,0,0
20.611328125,60.04067611694336,7,893,Finland,Aland Islands,0,0,0,0,0,0,0
19.662303924560547,60.187156677246094,8,895,Finland,Aland Islands,0,0,0,0,0,0,0
19.66748046875,60.16474533081055,8,896,Finland,Aland Islands,0,0,0,0,0,0,0
19.62919807434082,60.17036056518555,8,897,Finland,Aland Islands,0,0,0,0,0,0,0
19.59980583190918,60.162696838378906,8,898,Finland,Aland Islands,0,0,0,0,0,0,0
19.579883575439453,60.13506317138672,8,899,Finland,Aland Islands,0,0,0,0,0,0,0
19.536523818969727,60.14497375488281,8,900,Finland,Aland Islands,0,0,0,0,0,0,0
19.51904296875,60.184566497802734,8,901,Finland,Aland Islands,0,0,0,0,0,0,0
19.551366806030273,60.24384689331055,8,902,Finland,Aland Islands,0,0,0,0,0,0,0
19.628808975219727,60.24609375,8,903,Finland,Aland Islands,0,0,0,0,0,0,0
19.662303924560547,60.187156677246094,8,904,Finland,Aland Islands,0,0,0,0,0,0,0
19.989551544189453,60.35116958618164,9,906,Finland,Aland Islands,0,0,0,0,0,0,0
20.02021598815918,60.35087585449219,9,907,Finland,Aland Islands,0,0,0,0,0,0,0
20.03388786315918,60.35932540893555,9,908,Finland,Aland Islands,0,0,0,0,0,0,0
20.08740234375,60.353416442871094,9,909,Finland,Aland Islands,0,0,0,0,0,0,0
20.167869567871094,60.314697265625,9,910,Finland,Aland Islands,0,0,0,0,0,0,0
20.18408203125,60.29374694824219,9,911,Finland,Aland Islands,0,0,0,0,0,0,0
20.239551544189453,60.28301239013672,9,912,Finland,Aland Islands,0,0,0,0,0,0,0
20.258888244628906,60.26127624511719,9,913,Finland,Aland Islands,0,0,0,0,0,0,0
20.194726943969727,60.19355392456055,9,914,Finland,Aland Islands,0,0,0,0,0,0,0
20.15507698059082,60.192283630371094,9,915,Finland,Aland Islands,0,0,0,0,0,0,0
20.12548828125,60.20087814331055,9,916,Finland,Aland Islands,0,0,0,0,0,0,0
20.0732421875,60.193458557128906,9,917,Finland,Aland Islands,0,0,0,0,0,0,0
20.042579650878906,60.180667877197266,9,918,Finland,Aland Islands,0,0,0,0,0,0,0
20.032323837280273,60.15249252319336,9,919,Finland,Aland Islands,0,0,0,0,0,0,0
20.033985137939453,60.09355545043945,9,920,Finland,Aland Islands,0,0,0,0,0,0,0
19.7998046875,60.08173751831055,9,921,Finland,Aland Islands,0,0,0,0,0,0,0
19.745996475219727,60.09897232055664,9,922,Finland,Aland Islands,0,0,0,0,0,0,0
19.672266006469727,60.23300552368164,9,923,Finland,Aland Islands,0,0,0,0,0,0,0
19.686914443969727,60.26762771606445,9,924,Finland,Aland Islands,0,0,0,0,0,0,0
19.736522674560547,60.28237533569336,9,925,Finland,Aland Islands,0,0,0,0,0,0,0
19.779003143310547,60.285545349121094,9,926,Finland,Aland Islands,0,0,0,0,0,0,0
19.785253524780273,60.213375091552734,9,927,Finland,Aland Islands,0,0,0,0,0,0,0
19.84765625,60.22055435180664,9,928,Finland,Aland Islands,0,0,0,0,0,0,0
19.867185592651367,60.26811218261719,9,929,Finland,Aland Islands,0,0,0,0,0,0,0
19.87158203125,60.30160903930664,9,930,Finland,Aland Islands,0,0,0,0,0,0,0
19.854686737060547,60.31850814819336,9,931,Finland,Aland Islands,0,0,0,0,0,0,0
19.81230354309082,60.33159255981445,9,932,Finland,Aland Islands,0,0,0,0,0,0,0
19.787792205810547,60.35404968261719,9,933,Finland,Aland Islands,0,0,0,0,0,0,0
19.82304573059082,60.39018249511719,9,934,Finland,Aland Islands,0,0,0,0,0,0,0
19.888280868530273,60.40581130981445,9,935,Finland,Aland Islands,0,0,0,0,0,0,0
19.94453239440918,60.357521057128906,9,936,Finland,Aland Islands,0,0,0,0,0,0,0
19.989551544189453,60.35116958618164,9,937,Finland,Aland Islands,0,0,0,0,0,0,0
1.7060545682907104,42.50332260131836,10,939,Andorra,NA,0,0,0,0,0,0,0
1.6785153150558472,42.49667739868164,10,940,Andorra,NA,0,0,0,0,0,0,0
1.5864256620407104,42.455955505371094,10,941,Andorra,NA,0,0,0,0,0,0,0
1.5340819358825684,42.44169998168945,10,942,Andorra,NA,0,0,0,0,0,0,0
1.486230731010437,42.434471130371094,10,943,Andorra,NA,0,0,0,0,0,0,0
1.448828101158142,42.43745040893555,10,944,Andorra,NA,0,0,0,0,0,0,0
1.4281247854232788,42.46133041381836,10,945,Andorra,NA,0,0,0,0,0,0,0
1.430273413658142,42.49784851074219,10,946,Andorra,NA,0,0,0,0,0,0,0
1.421972393989563,42.53080749511719,10,947,Andorra,NA,0,0,0,0,0,0,0
1.4148436784744263,42.54838562011719,10,948,Andorra,NA,0,0,0,0,0,0,0
1.4283201694488525,42.59589767456055,10,949,Andorra,NA,0,0,0,0,0,0,0
1.4588868618011475,42.62167739868164,10,950,Andorra,NA,0,0,0,0,0,0,0
1.5013670921325684,42.64272689819336,10,951,Andorra,NA,0,0,0,0,0,0,0
1.5681642293930054,42.635009765625,10,952,Andorra,NA,0,0,0,0,0,0,0
1.7098630666732788,42.60444259643555,10,953,Andorra,NA,0,0,0,0,0,0,0
1.7394529581069946,42.575927734375,10,954,Andorra,NA,0,0,0,0,0,0,0
1.7402344942092896,42.55673599243164,10,955,Andorra,NA,0,0,0,0,0,0,0
1.7139649391174316,42.525634765625,10,956,Andorra,NA,0,0,0,0,0,0,0
1.7060545682907104,42.50332260131836,10,957,Andorra,NA,0,0,0,0,0,0,0
16.953125,48.59882736206055,181,9108,Austria,NA,0,0,0,0,0,0,0
16.948827743530273,48.58857727050781,181,9109,Austria,NA,0,0,0,0,0,0,0
16.943359375,48.550926208496094,181,9110,Austria,NA,0,0,0,0,0,0,0
16.90449333190918,48.503517150878906,181,9111,Austria,NA,0,0,0,0,0,0,0
16.862695693969727,48.44140625,181,9112,Austria,NA,0,0,0,0,0,0,0
16.865428924560547,48.38691329956055,181,9113,Austria,NA,0,0,0,0,0,0,0
16.97265625,48.19809341430664,181,9114,Austria,NA,0,0,0,0,0,0,0
17.06787109375,48.083251953125,181,9115,Austria,NA,0,0,0,0,0,0,0
17.085939407348633,48.03955078125,181,9116,Austria,NA,0,0,0,0,0,0,0
17.147363662719727,48.005958557128906,181,9117,Austria,NA,0,0,0,0,0,0,0
